total time elapsed: 0h 0m 23s , epoch: 5, best accuracy: 5.00%, best loss 2.826996
total time elapsed: 0h 0m 26s , epoch: 6, best accuracy: 5.00%, best loss 2.823294
total time elapsed: 0h 0m 28s , epoch: 7, best accuracy: 5.00%, best loss 2.823294
total time elapsed: 0h 0m 30s , epoch: 8, best accuracy: 5.00%, best loss 2.823294
total time elapsed: 0h 0m 32s , epoch: 9, best accuracy: 5.00%, best loss 2.823294
total time elapsed: 0h 0m 34s , epoch: 10, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 36s , epoch: 11, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 38s , epoch: 12, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 41s , epoch: 13, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 43s , epoch: 14, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 45s , epoch: 15, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 47s , epoch: 16, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 49s , epoch: 17, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 51s , epoch: 18, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 53s , epoch: 19, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 55s , epoch: 20, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 57s , epoch: 21, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 0m 59s , epoch: 22, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 1s , epoch: 23, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 4s , epoch: 24, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 6s , epoch: 25, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 8s , epoch: 26, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 10s , epoch: 27, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 12s , epoch: 28, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 14s , epoch: 29, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 16s , epoch: 30, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 18s , epoch: 31, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 20s , epoch: 32, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 23s , epoch: 33, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 25s , epoch: 34, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 27s , epoch: 35, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 29s , epoch: 36, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 31s , epoch: 37, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 33s , epoch: 38, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 35s , epoch: 39, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 37s , epoch: 40, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 40s , epoch: 41, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 42s , epoch: 42, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 44s , epoch: 43, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 46s , epoch: 44, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 48s , epoch: 45, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 50s , epoch: 46, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 52s , epoch: 47, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 55s , epoch: 48, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 57s , epoch: 49, best accuracy: 5.00%, best loss 2.581139
total time elapsed: 0h 1m 59s , epoch: 50, best accuracy: 5.00%, best loss 2.581139
